source,title,summary,url,published_at,fetched_at,category
eco,Atividade económica da Zona Euro atinge nível mais elevado desde novembro,"A atividade empresarial na Zona Euro registou em agosto o seu ritmo de crescimento mais rápido deste ano, impulsionada por um aumento das novas encomendas — especialmente no setor da indústria transformadora — e pelo regresso ao crescimento das exportações, ao mesmo tempo que houve uma diminuição das pressões sobre os preços. Isto sugere que, […]",https://eco.sapo.pt/2026/08/21/atividade-economica-da-zona-euro-atinge-nivel-mais-elevado-desde-novembro/,2026-08-21T10:08:47+00:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Sul-coreana Samsung quer devolver quase 70 mil milhões aos acionistas,"O anúncio chega depois de a rival sul-coreana SK Hynix ter revelado que se está a preparar para avançar com uma recompra de ações na ordem dos 40 biliões de won. A confirmar-se o plano da Samsung, este será o maior programa de remuneração a acionistas da história do país asiático.",https://www.jornaldenegocios.pt/mercados/detalhe/sul-coreana-samsung-quer-devolver-quase-70-mil-milhoes-aos-acionistas,2026-08-21T13:00:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Euribor sobe em todos os prazos. Taxa a 12 meses ultrapassa 3% pela primeira vez em dois anos,"Acompanhe, ao minuto, a evolução dos mercados desta sexta-feira.",https://www.jornaldenegocios.pt/mercados/mercados-num-minuto/detalhe/asia-fecha-com-ganhos-impulsionados-pela-ia-mas-perde-terreno-no-conjunto-da-semana,2026-08-21T12:10:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Miranda Sarmento é o 12.º Mais Poderoso de 2026,"Central na estratégia de chegada ao poder do PSD e também na governação de Luís Montenegro, Sarmento superou as metas orçamentais em 2025. Já em 2026 o desafio é o de não ir além de “um pequeno défice” e de manter a dívida no rumo de descida.",https://www.jornaldenegocios.pt/negocios-iniciativas/poderosos/poderosos-2026/detalhe/miranda-sarmento-e-o-12-mais-poderoso-de-2026,2026-08-21T12:00:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,"""A Galp prova que [o Estado] ser acionista não influencia o preço"" da energia, diz Óscar Afonso","O economista e presidente da Faculdade de Economia e Gestão da Universidade do Porto aponta contradições na estratégia seguida pelo Governo. Sobre a reentrada na REN, questiona se é a melhor utilização possível dos dinheiros públicos. E deixa críticas à criação do fundo soberano.",https://www.jornaldenegocios.pt/economia/detalhe/a-galp-prova-que-o-estado-ser-acionista-nao-influencia-o-preco-da-energia-diz-oscar-afonso,2026-08-21T11:56:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Passe ferroviário verde alargado aos urbanos de Lisboa e Porto a partir de setembro,"O Governo estima um impacto financeiro da medida, que inclui os serviços da CP em Lisboa e Porto assim como a Fertagus, em 1,5 milhões de euros por ano.",https://www.jornaldenegocios.pt/empresas/transportes/detalhe/passe-ferroviario-verde-alargado-aos-urbanos-de-lisboa-e-porto-a-partir-de-setembro,2026-08-21T11:44:33+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Relatório completo sobre reforma das pensões já está disponível,O relatório final de 607 páginas com propostas para uma reforma do sistema de pensões já foi publicado pelo Governo. Ministério do Trabalho pede contributos até 18 de setembro.,https://www.jornaldenegocios.pt/economia/seguranca-social/detalhe/relatorio-completo-sobre-reforma-das-pensoes-ja-esta-disponivel,2026-08-21T11:35:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Endividamento da economia ultrapassa 280% do PIB no primeiro semestre,"Do total, 500,3 mil milhões de euros do endividamento na primeira metade do ano eram do setor privado e 393,6 mil milhões de euros do setor público, segundo os dados divulgados pelo BdP. Famílias endividaram-se ao ritmo mais elevado desde a crise financeira.",https://www.jornaldenegocios.pt/economia/detalhe/divida-das-familias-empresas-e-estado-sobe-para-894-mil-milhoes-no-primeiro-semestre,2026-08-21T11:21:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Indústria impulsiona melhoria inesperada da atividade na Zona Euro em agosto,"Índice que mede a atividade privada nos países da moeda única teve, em agosto, o ritmo de crescimento mais robusto desde novembro do ano passado, reforçando o perfil de recuperação dos últimos três meses.",https://www.jornaldenegocios.pt/economia/conjuntura/detalhe/industria-impulsiona-melhoria-inesperada-da-atividade-na-zona-euro-em-agosto,2026-08-21T11:20:05+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Quer tirar partido da inovação e do crescimento? Invista em ações,"Um investimento de 2.400 euros por ano, 200 euros por mês, com uma rentabilidade anualizada composta de apenas 8% durante 30 anos, chega a quase 300.000 euros. A curto prazo, poderá ser um pouco difícil. Mas, a longo prazo, compensa.",https://www.jornaldenegocios.pt/opiniao/detalhe/quer-tirar-partido-da-inovacao-e-do-crescimento-invista-em-acoes,2026-08-21T11:15:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,"Siri Hustvedt: “A história não se repete, mas muitas vezes rima”","Assistimos hoje a um retrocesso nos direitos humanos, considera a escritora norte-americana Siri Hustvedt. “Como diz a famosa frase, a história não se repete, mas rima.” Apontada como uma das grandes vozes da literatura contemporânea, a romancista e viúva de Paul Auster lançou o livro “Fantasmas”, uma obra sobre o luto, mas também um ato de ressurreição.",https://www.jornaldenegocios.pt/weekend/detalhe/siri-hustvedt-a-historia-nao-se-repete-mas-muitas-vezes-rima,2026-08-21T11:00:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Dois portugueses feridos e um desaparecido em incêndio num restaurante na Suíça,Foram mobilizados quase 100 bombeiros para combater as chamas. Ainda está em curso a identificação das vítimas.,https://www.jornaldenegocios.pt/economia/detalhe/portugues-entre-os-desaparecidos-em-incendio-em-restaurante-na-suica,2026-08-21T11:00:00+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,"Combustíveis voltam a subir para a semana. Gasóleo aumenta 3,5 cêntimos","Os preços dos combustíveis voltam a aumentar na próxima semana. As cotações internacionais apontam para uma subida de 3,5 cêntimos por litro no gasóleo e de 2,5 cêntimos na gasolina.",https://www.jornaldenegocios.pt/empresas/energia/detalhe/combustiveis-voltam-a-subir-para-a-semana-gasoleo-aumenta-3-5-centimos,2026-08-21T10:45:37+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Expectativas de inflação dos consumidores da Zona Euro descem em julho,O inquerito realizado pelo Banco Central Europeu. revela que as expectativas de inflação dos consumidores da Zona Euro para os próximos doze meses e três anos caíram no mês passado.,https://www.jornaldenegocios.pt/economia/detalhe/expectativas-de-inflacao-dos-consumidores-da-zona-euro-descem-em-julho,2026-08-21T10:44:34+01:00,2026-08-21T12:19:04+00:00,real_estate
jornaldenegocios,Monte dei Paschi quer afastar OPA da Intesa Sanpaolo e oferece 34 mil milhões por dois bancos,"A banca italiana continua a viver um complexo jogo de potenciais aquisições. O banco mais antigo do mundo, alvo de OPA pelo Intesa Sanpaolo, contra-ataca com propostas de compra. Aponta ao BPM, com o qual se quis fundir, e ao Banca Generali.",https://www.jornaldenegocios.pt/empresas/banca---financas/detalhe/monte-dei-paschi-quer-afastar-opa-da-intesa-sanpaolo-e-oferece-34-mil-milhoes-por-dois-bancos,2026-08-21T10:18:00+01:00,2026-08-21T12:19:04+00:00,real_estate
eco,Seguro aprova novo regime de licenciamento ferroviário após descarrilamento do elevador da Glória,"O Presidente da República promulgou o diploma que prevê um novo regime jurídico de licenciamento, manutenção e fiscalização do transporte ferroviário que inclui metropolitano, elétricos e elevadores e funiculares históricos, na sequência do descarrilamento do elevador da Glória em 2025. Numa nota publicada esta segunda-feira no site da Presidência, António José Seguro explica que o […]",https://eco.sapo.pt/2026/08/24/seguro-aprova-novo-regime-de-licenciamento-ferroviario-apos-descarrilamento-do-elevador-da-gloria/,2026-08-24T19:31:36+00:00,2026-08-24T20:10:43+00:00,real_estate
eco,Bola do golo de Maradona com a ‘mão de Deus’ vendida por quase 3 milhões de euros,"A bola com que o futebolista argentino Diego Maradona marcou um golo com a ‘mão de Deus’ foi vendida em leilão por 3,35 milhões de dólares (cerca de 2,9 milhões de euros) pela Heritage Auctions, nos Estados Unidos. A venda da bola com que Maradona abriu o marcador face à Inglaterra (2-1), nos quartos de […]",https://eco.sapo.pt/2026/08/24/bola-do-golo-de-maradona-com-a-mao-de-deus-vendida-por-quase-3-milhoes-de-euros/,2026-08-24T19:24:59+00:00,2026-08-24T20:10:43+00:00,real_estate
eco,Reforma da Segurança Social nesta legislatura? “Governo pôs uma pedra em cima do assunto”,"O secretário-geral do PSD e líder da bancada parlamentar, Hugo Soares, afirmou esta segunda-feira que José Luís Carneiro “está cada vez mais parecido com” André Ventura, criticando a “impreparação total da oposição em Portugal”, nomeadamente “dos dois maiores partidos da oposição” — PS e Chega –, que estão “cada vez mais parecidos”, insistiu. Num discurso […]",https://eco.sapo.pt/2026/08/24/reforma-da-seguranca-social-nesta-legislatura-governo-pos-uma-pedra-em-cima-do-assunto/,2026-08-24T18:21:55+00:00,2026-08-24T20:10:43+00:00,real_estate
eco,Carney diz que Canadá não aceitará acordo comercial com EUA “a qualquer preço”,"O primeiro-ministro canadiano, Mark Carney, afirmou esta segunda-feira que o Canadá não aceitará um acordo comercial “a qualquer preço” nem “em qualquer prazo” com os Estados Unidos. “O objetivo das nossas negociações comerciais com os Estados Unidos sempre foi garantir o melhor acordo possível para os canadianos”, declarou Carney aos jornalistas durante o anúncio de […]",https://eco.sapo.pt/2026/08/24/carney-diz-que-canada-nao-aceitara-acordo-comercial-com-eua-a-qualquer-preco/,2026-08-24T17:52:48+00:00,2026-08-24T20:10:43+00:00,real_estate
